pair,query_id,bm25_count,top10_changed,bm25_in_top10,bm25_sample
2:gemma4_default_parser_bm25_on_run02.json,q13,1000,0,1,4d243a68-c125-59d9-90e6-8e938cf17c0c;36421733-88ff-5caf-a174-8c6020adef39;9f0766e3-f6fc-57d1-af22-71421a3752a4;7bd66ca8-c172-5594-aea2-4cd156dfc66b;5c039d3d-8eb9-5960-abd0-0366d37eedf9
2:gemma4_default_parser_bm25_on_run02.json,q14,1000,0,1,95aa71cd-c0e7-55da-8177-43931a7fca57;c9940b87-3da6-595d-9948-8708a3e4d216;35864450-a70c-52fe-ab92-2ae7f9a12b10;89ba9bc7-f6ad-599e-992a-5942d16ac4bf;58f8ffc1-bc85-5301-b094-7edee05642f6
2:gemma4_default_parser_bm25_on_run02.json,q15,1000,0,1,f81d8654-47cb-5b70-81c3-5a838b2de2e8;76a36ca7-8b71-53b1-b19f-2d8263273fa2;0f105ae5-8390-5815-ad2b-c1ea3038e5fe;d5d4beb2-1f9f-5e7d-b70a-e0d93c8375bf;871b67db-5a52-5b48-9240-15c3fd26d800
2:gemma4_default_parser_bm25_on_run02.json,q16,1000,0,1,f7b9b9cc-f9b0-505e-bd14-834b485ebe71;39c8d774-aa3f-5195-a448-0f9ec27aeb8d;1d3268b0-9af6-5781-aede-0953ec438f63;30a8814c-b444-545d-b7d5-9a10624614b9;369fc93c-5f55-5a05-8c77-9ef9e6c35dd3
2:gemma4_default_parser_bm25_on_run02.json,q17,1000,0,1,5521cc23-94a9-5140-9400-ac2261040b42;d2051a19-1275-56ca-b3fc-5d040f73b02d;f9cc3ca2-e49f-5c8d-be3f-332f14676f85;9f0766e3-f6fc-57d1-af22-71421a3752a4;0cb47e2a-608c-5e87-99a9-b23dbe4e3673
2:gemma4_default_parser_bm25_on_run02.json,q18,1000,0,0,a44a04aa-52aa-55dd-b939-eafa7f3c4f37;c6be5111-3e99-5a4d-89e9-10b4b0d3d3eb;ef794942-f09e-56c0-bb71-f54e2a76f664;44225536-7c29-5446-99f9-8f3b017df376;1ee71eb5-3137-57b3-9aca-4ce069c1ac50
2:gemma4_default_parser_bm25_on_run02.json,q19,1000,0,1,3fd911fc-d689-5323-9b92-620716abad0f;266a110b-ef30-5605-a96c-740c9d1f8140;04a86ba5-918f-5977-8edc-15e3cbc121f7;60078bef-8306-5b35-8211-b39fbc5d2c71;385c6ff7-266c-5106-b8d4-9bc049588fcf
2:gemma4_default_parser_bm25_on_run02.json,q20,1000,0,0,72f9d2d9-6fa9-56a2-bef4-02c9574a16d2;19d435cd-2bfa-5464-8045-052cb8f11f22;98ed6667-528b-5f91-95a6-d43332f908e2;c7da5861-eceb-557a-89e2-a17ba3dfb9e5;0790cb4c-8fb4-527f-a2a2-2cd64ef4c985
2:gemma4_default_parser_bm25_on_run02.json,q21,1000,0,1,f2459e2b-5aa2-58c1-8279-c21574b758c8;255b1b2a-a923-5199-ac76-20757270f55d;23c98bbc-8e41-5ddd-bb53-66929c6802c5;7400d95e-3489-57ec-ae20-a6f240134c1e;6ccd2b9a-9429-5373-8b36-c2a154d6bf0d
2:gemma4_default_parser_bm25_on_run02.json,q22,1000,0,1,59f93d90-8ef1-5c7e-8fd7-f519554217d2;2fab755a-af40-5d53-92c3-62fe7122ab77;a29221ee-5427-5e33-9482-3e98e65ea174;913254f8-da65-588d-8682-8d0bc18b703f;916f1926-182c-5f51-963e-cb66a00f2ddd
